Timestamp,Sleep,Wake,Sleep Quality,Waking Energy,Work,Focused Learning,Skill practicing,Physical Endeavors,Scrolling,jorking,Passive media ,Active Media,Dominant Emotion  (Less to more pleasurable),Dominant Emotion with intensity (1-10),Enhancers,how much?,MISC,System Architecture
6/30/2025 23:48:42,2:00:00 AM,11:00:00 AM,6,9,8 hours,120,60,0,33,1,60,180,0,6,NIC,1 pouch,"Pain in left knee from run on sunday biggest ""concern"" ",20
7/1/2025,12:00:00 AM,6:00:00 AM,4,10,8 hours transplanting roses in sun,0,10,90,30,2,53,15,4,8,CAF,100 g,Work up goal oriented when I got sleepy took shower but idled while nasal rinse. But then unexpected turn with regards to model for AC,40
7/2/2025,12:00:00 AM,6:00:00 AM,6,8,8 hours pulling rose bushes,0,0,100,40,2,90,75,2,8,WE,100,Had a slight discussion with superviser but i sensed the limit to which i could rebuttal without hard feelings. Smooth it over later by asking for advice and working hard.,30
7/3/2025,5:00:00 AM,7:45:00 AM,2,4,0,60,0,0,0,2,90,180,0,10,None,N/A,Had to catch a flight lost track of time reason for late night and early morning. ,10
7/4/2025 0:09:13,3:00:00 AM,11:30:00 AM,3,4,0,30,0,30,30,1,40,260,2,8,None,N/A,Had a headache ,20
7/6/2025 3:42:53,3:00:00 AM,11:30:00 AM,2,3,0,180,0,120,40,3,120,90,3,4,"NIC, CAF",2 puches 100 grams,Helped dad implement app idea and got guitar ,40
7/7/2025 2:44:42,3:00:00 AM,10:30:00 AM,3,7,0,120,50,90,30,1,5,360,3,4,NIC,1 pouch,Went to church ,10
7/8/2025,3:00:00 AM,12:00:00 AM,3,3,0,0,10,0,60,1,60,60,3,6,None,N/A,asked for extension vacation ,0
7/9/2025,2:00:00 AM,11:00:00 AM,3,2,0,0,20,30,60,2,120,120,3,8,None,N/A,Went to the beach ,0
7/10/2025,6:00:00 AM,1:30:00 PM,2,2,0,40,30,0,30,5,240,45,-4,8,"ALC, NIC","two pouches, vape ,  6+ drinks"," ""Gooned for 3 hours, man pulled up, ran home.""",20
7/11/2025,5:00:00 AM,1:30:00 PM,3,2,0,0,30,0,40,4,120,10,0,8,NIC,several puffs throught out the day,aftermath of the day was just chilling with parents guitar eating playing pool ,0
7/12/2025,6:00:00 AM,12:00:00 PM,2,3,0,30,45,0,60,4,180,84,3,6,"ALC, NIC",puffs and several drinks 10+ ,Had a conversation about moral obligation becoming manipulation with dad. Danced with mom. Had Lucid dreams,15
7/13/2025,5:00:00 AM,10:30:00 AM,3,7,0,0,0,0,30,2,180,270,3,6,"NIC, CAF","100 mg, several puffs from vape",last day with family before returning to dorm,0
7/14/2025,3:00:00 AM,1:40:00 PM,2,6,0,50,0,0,40,2,160,53,-5,8,None,N/A,Had a slight existential crisis when thinking about career future but collected my thoughts via AI and have devised new plan forward ,60
7/15/2025,12:30:00 AM,6:00:00 AM,4,7,8 hours transplanting and trench digging ,90,90,0,40,1,115,60,3,8,CAF,100 g,Good interactions with coworkers despite halitosis good feedback. Started on track for resume building. ,20
7/16/2025,12:00:00 AM,6:00:00 AM,8,4,8 hours,0,10,0,30,3,80,60,3,6,CAF,100 g,Low sleep led to sleep after work. Ended up doing system architecture. Hypothesis: Low energy days may be high level synthesis prone.,87
7/17/2025,12:30:00 AM,6:00:00 AM,4,6,8 hours ,70,30,60,20,2,60,50,3,2,CAF,100 g,Almost perfect day no down time each block of time was spent on working on an optimal choice. ,50
7/18/2025,12:00:00 AM,6:00:00 AM,2,3,8 hours,180,40,0,20,1,190,70,5,8,"NIC, CAF","100g , 2 pouches",Achieved a gold standard session of 3 hours. Reached lull from sleep deprivation but used nic pouch and goal setting to revamp energy.,45
7/20/2025 2:52:33,2:00:00 AM,9:30:00 AM,2,1,0,40,200,0,30,1,200,23,3,4,None,N/A,Chill day worked on creative and organizational ,160
7/21/2025 3:28:01,2:20:00 AM,12:30:00 AM,3,1,0,0,120,0,60,1,150,40,1,2,None,N/A,Rest day recovering for week did some planning and a little drawing.,120
7/21/2025 23:45:48,3:00:00 AM,8:00:00 AM,2,4,0,60,15,0,60,2,100,0,-2,6,NIC,1 pouch,"Went to ENT and got told I need to see dentist, issue still at large. Had to accept fault and readapt strategy.",120
